LOCALITA',STAZIONE,STATO,SPECIE,PARAMETRO,TIPO DATO,UNITA' DI MISURA,DATA,ANNO,MESE,DATO,LATITUDINE,LONGITUDINE,CHIAVE
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,04/06/2009,2009,6,"24,8",45.60555,13.72195,11613996820
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,04/06/2009,2009,6,10,45.60555,13.72195,11613996821
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,04/06/2009,2009,6,"5,0",45.60555,13.72195,11613996823
Grignano - Trieste,Diga porto,dismessa,,temperatura aria,ambientali,°C,04/06/2009,2009,6,"25,4",45.7051,13.710883333333333,11643996820
Grignano - Trieste,Diga porto,dismessa,,copertura cielo,ambientali,decimi,04/06/2009,2009,6,10,45.7051,13.710883333333333,11643996821
Grignano - Trieste,Diga porto,dismessa,,intensità vento,ambientali,m/s,04/06/2009,2009,6,"11,0",45.7051,13.710883333333333,11643996823
Duino - Aurisina,Diga porto di Duino,dismessa,,temperatura aria,ambientali,°C,04/06/2009,2009,6,"25,0",45.77333333333333,13.598466666666667,11683996820
Duino - Aurisina,Diga porto di Duino,dismessa,,copertura cielo,ambientali,decimi,04/06/2009,2009,6,4,45.77333333333333,13.598466666666667,11683996821
Duino - Aurisina,Diga porto di Duino,dismessa,,intensità vento,ambientali,m/s,04/06/2009,2009,6,"3,5",45.77333333333333,13.598466666666667,11683996823
Grado - Morgo,Spiaggia,dismessa,,temperatura aria,ambientali,°C,03/06/2009,2009,6,"19,5",45.69801666666667,13.32265,11723996720
Grado - Morgo,Spiaggia,dismessa,,copertura cielo,ambientali,decimi,03/06/2009,2009,6,6,45.69801666666667,13.32265,11723996721
Grado - Morgo,Spiaggia,dismessa,,intensità vento,ambientali,m/s,03/06/2009,2009,6,"6,5",45.69801666666667,13.32265,11723996723
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,25/06/2009,2009,6,"23,0",45.60555,13.72195,11613998920
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,25/06/2009,2009,6,8,45.60555,13.72195,11613998921
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,25/06/2009,2009,6,"3,0",45.60555,13.72195,11613998923
Grignano - Trieste,Diga porto,dismessa,,temperatura aria,ambientali,°C,25/06/2009,2009,6,"23,8",45.7051,13.710883333333333,11643998920
Grignano - Trieste,Diga porto,dismessa,,copertura cielo,ambientali,decimi,25/06/2009,2009,6,7,45.7051,13.710883333333333,11643998921
Grignano - Trieste,Diga porto,dismessa,,intensità vento,ambientali,m/s,25/06/2009,2009,6,"0,0",45.7051,13.710883333333333,11643998923
Duino - Aurisina,Diga porto di Duino,dismessa,,temperatura aria,ambientali,°C,25/06/2009,2009,6,"21,0",45.77333333333333,13.598466666666667,11683998920
Duino - Aurisina,Diga porto di Duino,dismessa,,copertura cielo,ambientali,decimi,25/06/2009,2009,6,7,45.77333333333333,13.598466666666667,11683998921
Duino - Aurisina,Diga porto di Duino,dismessa,,intensità vento,ambientali,m/s,25/06/2009,2009,6,"0,0",45.77333333333333,13.598466666666667,11683998923
Grado - Morgo,Spiaggia,dismessa,,temperatura aria,ambientali,°C,25/06/2009,2009,6,"23,2",45.69801666666667,13.32265,11723998920
Grado - Morgo,Spiaggia,dismessa,,copertura cielo,ambientali,decimi,25/06/2009,2009,6,7,45.69801666666667,13.32265,11723998921
Grado - Morgo,Spiaggia,dismessa,,intensità vento,ambientali,m/s,25/06/2009,2009,6,"4,0",45.69801666666667,13.32265,11723998923
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,03/07/2009,2009,7,"27,0",45.60555,13.72195,11613999720
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,03/07/2009,2009,7,2,45.60555,13.72195,11613999721
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,03/07/2009,2009,7,"2,0",45.60555,13.72195,11613999723
